Ligue,Equipe,Joueur,Position,Age,Taille,Poids,Ville de Naissance,Pays de Naissance,Club Formateur,Shoot,Année de Draft,Ronde de Draft,Position de Draft,Equipe de Draft,Salaire NHL,Match Joué,But,Assist,Point,Pénalités,Plus/Minus,GAA,SVP,Latitude Ville,Longitude Ville,Latitude Pays,Longitude Pays
KHL,Admiral Vladivostok,Sergei Ivanov,G,19,180,75,Chernushka,Russia,Gazovik Tyumen,L,2022,5,138,Columbus Blue Jackets,None,8,None,None,None,None,None,2.74,0.92,57.6373,62.40394,60.0,100.0
KHL,Admiral Vladivostok,Pavel Khomchenko,G,29,185,82,Saratov,Russia,Kristall Saratov,L,None,None,None,None,None,15,None,None,None,None,None,3.07,0.916,51.54056,46.00861,60.0,100.0
KHL,Admiral Vladivostok,Arseni Tsyba,G,22,187,76,Chaikovsky,Russia,Oktan Perm,L,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,60.0,100.0
KHL,Admiral Vladivostok,Maxim Chudinov,D,33,180,95,Cherepovets,Russia,Severstal Cherepovets,R,2010,7,195,Boston Bruins,None,18,2,4,6,12,-4,None,None,59.13333,37.9,60.0,100.0
KHL,Admiral Vladivostok,Ruslan Ibatullin,D,29,178,79,Chishmy,Russia,Salavat Yulaev Ufa,L,None,None,None,None,None,15,1,0,1,6,-5,None,None,54.57648,55.37642,60.0,100.0
KHL,Admiral Vladivostok,Yevgeni Lisovets,D,28,182,86,Grodno,Belarus,Neman Grodno,L,None,None,None,None,None,17,1,4,5,2,-4,None,None,53.6884,23.8258,53.0,28.0
KHL,Admiral Vladivostok,Leonid Metalnikov,D,33,182,85,Ust-Kamenogorsk,Kazakhstan,Torpedo Ust-Kamenogorsk,L,None,None,None,None,None,26,2,3,5,6,-1,None,None,49.97143,82.60586,48.0,68.0
KHL,Admiral Vladivostok,Yegor Nikitin,D,19,179,82,Nizhnekamsk,Russia,Neftekhimik Nizhnekamsk,R,None,None,None,None,None,13,1,0,1,0,0,None,None,55.63657,51.82447,60.0,100.0
KHL,Admiral Vladivostok,Ilya Pastukhov,D,22,186,92,Novosibirsk,Russia,Sibir Novosibirsk,L,None,None,None,None,None,2,0,0,0,0,-1,None,None,55.0415,82.9346,60.0,100.0
KHL,Admiral Vladivostok,Yuri Pautov,D,28,191,93,Yaroslavl,Russia,Lokomotiv Yaroslavl,L,None,None,None,None,None,24,1,3,4,8,0,None,None,57.62987,39.87368,60.0,100.0
KHL,Admiral Vladivostok,Alexey Solovyev,D,29,188,92,Moskva,Russia,None,L,None,None,None,None,None,26,4,8,12,10,-8,None,None,55.75222,37.61556,60.0,100.0
KHL,Admiral Vladivostok,Mark Yanchevsky,D,25,199,93,Magnitogorsk,Russia,Metallurg Magnitogorsk,L,None,None,None,None,None,8,0,0,0,0,-3,None,None,53.41861,59.04722,60.0,100.0
KHL,Admiral Vladivostok,Nikita Anokhovsky,F,24,183,91,Yaroslavl,Russia,Lokomotiv Yaroslavl,L,None,None,None,None,None,11,1,2,3,2,-1,None,None,57.62987,39.87368,60.0,100.0
KHL,Admiral Vladivostok,Anton Berlyov,F,29,177,82,St. Petersburg,Russia,SKA-Petergof St. Petersburg,R,None,None,None,None,None,20,3,2,5,4,-6,None,None,59.93863,30.31413,60.0,100.0
KHL,Admiral Vladivostok,Dmitri Buchelnikov,F,20,179,77,Nizhny Tagil,Russia,Gazovik Tyumen,R,2022,2,52,Detroit Red Wings,None,13,2,2,4,0,-5,None,None,57.91944,59.965,60.0,100.0
KHL,Admiral Vladivostok,Nikolai Chebykin,F,26,195,101,Chita,Russia,Dynamo Moskva,L,2016,7,182,Toronto Maple Leafs,None,24,1,2,3,8,-6,None,None,52.03171,113.50087,60.0,100.0
KHL,Admiral Vladivostok,Danil Faizullin,F,29,185,86,Kazan,Russia,Ak Bars Kazan,R,None,None,None,None,None,18,1,0,1,0,-2,None,None,55.78874,49.12214,60.0,100.0
KHL,Admiral Vladivostok,Giovanni Fiore,F,27,185,93,Laval,Canada,AHM Laval,L,None,None,None,None,None,24,6,5,11,10,-1,None,None,45.56995,-73.692,60.10867,-113.64258
KHL,Admiral Vladivostok,Denis Golubev,F,32,181,92,Magnitogorsk,Russia,Metallurg Magnitogorsk,R,None,None,None,None,None,17,1,1,2,4,-4,None,None,53.41861,59.04722,60.0,100.0
KHL,Admiral Vladivostok,Alexander Gorshkov,F,32,173,73,Surgut,Russia,Olimpiyets Surgut,R,None,None,None,None,None,23,2,10,12,8,-1,None,None,61.25,73.41667,60.0,100.0
KHL,Admiral Vladivostok,Tyler Graovac,F,30,195,94,Brampton,Canada,None,L,2011,7,191,Minnesota Wild,None,20,3,1,4,42,-3,None,None,43.68341,-79.76633,60.10867,-113.64258
KHL,Admiral Vladivostok,Daniil Gutik,F,22,191,86,Khabarovsk,Russia,Amur Khabarovsk,R,None,None,None,None,None,26,6,13,19,16,-3,None,None,48.48271,135.08379,60.0,100.0
