Ligue,Equipe,Joueur,Position,Age,Taille,Poids,Ville de Naissance,Pays de Naissance,Club Formateur,Shoot,Année de Draft,Ronde de Draft,Position de Draft,Equipe de Draft,Salaire NHL,Match Joué,But,Assist,Point,Pénalités,Plus/Minus,GAA,SVP,Latitude Ville,Longitude Ville,Latitude Pays,Longitude Pays
Ligue Magnus,Amiens,Clément Fouquerel,G,33,185,84,Caen,France,Cherbourg,L,None,None,None,None,None,10,None,None,None,None,None,2.45,0.926,49.18585,-0.35912,46.0,2.0
Ligue Magnus,Amiens,Antoine Gilbert,G,22,185,80,Amiens,France,Amiens,L,None,None,None,None,None,6,None,None,None,None,None,3.62,0.889,49.9,2.3,46.0,2.0
Ligue Magnus,Amiens,Romain Bault,D,33,178,85,Amiens,France,Amiens,R,None,None,None,None,None,15,1,2,3,10,-7,None,None,49.9,2.3,46.0,2.0
Ligue Magnus,Amiens,Justin Bergeron,D,23,183,86,Magog,Canada,None,L,None,None,None,None,None,15,3,5,8,2,10,None,None,45.26678,-72.14909,60.10867,-113.64258
Ligue Magnus,Amiens,Jared Freadrich,D,25,180,84,Camrose,Canada,None,R,None,None,None,None,None,15,1,4,5,8,-1,None,None,53.00822,-112.83168,None,None
Ligue Magnus,Amiens,Dan Gibb,D,31,191,100,Cranbrook,Canada,None,L,None,None,None,None,None,15,1,2,3,15,-1,None,None,49.61222,-115.78194,None,None
Ligue Magnus,Amiens,Nicolas Leclerc,D,29,168,82,Besançon,France,Besançon,L,None,None,None,None,None,10,0,1,1,2,-3,None,None,47.24878,6.01815,46.0,2.0
Ligue Magnus,Amiens,Mathieu Mony,D,24,180,85,Rouen,France,Rouen,L,None,None,None,None,None,12,1,0,1,31,-1,None,None,49.44313,1.09932,46.0,2.0
Ligue Magnus,Amiens,Jaakko Niskala,D,24,186,87,Rovaniemi,Finland,RoKi,R,None,None,None,None,None,15,1,5,6,6,11,None,None,66.5,25.71667,64.0,26.0
Ligue Magnus,Amiens,Louis Bailleul,F,17,184,94,Valenciennes,France,Valenciennes,L,None,None,None,None,None,2,0,0,0,0,0,None,None,50.35909,3.52506,46.0,2.0
