Rang,Equipe,Match Joué,Points,Victoire,Défaite,Victoire en Prolongation,Défaite en Prolongation,Buts Marqués,Buts Encaissés,Point Par Match,Ville,Latitude Ville,Longitude Ville
1,Rouen,15,40,13,1,0,1,69,33,2.67,Rouen,49.44313,1.09932
2,Angers,16,36,12,4,0,0,57,39,2.25,Angers,47.47156,-0.55202
3,Grenoble,16,32,10,5,1,0,61,37,2.0,Grenoble,45.17869,5.71479
4,Chamonix,15,30,8,3,2,2,42,40,2.0,Chamonix-Mont-Blanc,45.92375,6.86933
5,Marseille,16,24,7,7,1,1,42,35,1.5,Marseille,43.29695,5.38107
6,Amiens,15,22,6,7,2,0,49,47,1.47,Amiens,49.9,2.3
7,Bordeaux,16,18,4,8,2,2,43,52,1.13,Bordeaux,44.84044,-0.5805
8,Cergy-Pontoise,16,17,7,8,1,0,44,52,1.06,Cergy,49.03645,2.07613
9,Gap,16,16,5,10,0,1,45,58,1.0,Gap,44.55858,6.07868
10,Nice,17,16,4,11,2,0,39,64,0.94,Nice,43.70313,7.26608
11,Briançon,16,16,5,10,0,1,43,52,1.0,Briançon,44.89978,6.64201
12,Anglet,16,12,2,9,1,4,45,70,0.75,Anglet,43.48921,-1.51921
