Ligue,Equipe,Joueur,Position,Age,Taille,Poids,Ville de Naissance,Pays de Naissance,Club Formateur,Shoot,Année de Draft,Ronde de Draft,Position de Draft,Equipe de Draft,Salaire NHL,Match Joué,But,Assist,Point,Pénalités,Plus/Minus,GAA,SVP,Latitude Ville,Longitude Ville,Latitude Pays,Longitude Pays
NL,Ajoie,Damiano Ciaccio,G,34,191,89,Grandson,Switzerland,None,L,None,None,None,None,None,13,None,None,None,None,None,2.47,0.925,46.80946,6.646,47.00016,8.01427
NL,Ajoie,Tim Wolf,G,31,186,80,Zürich,Switzerland,Zürcher SC,L,None,None,None,None,None,7,None,None,None,None,None,4.14,0.882,47.36667,8.55,47.00016,8.01427
NL,Ajoie,Alain Birbaum,D,38,172,82,Fribourg,Switzerland,HC Gottéron,L,None,None,None,None,None,14,0,1,1,2,-10,None,None,46.80237,7.15128,47.00016,8.01427
NL,Ajoie,T.J. Brennan,D,34,185,98,Moorestown,USA,None,L,2007,2,31,Buffalo Sabres,None,15,0,6,6,10,-9,None,None,39.96706,-74.94267,-14.60485,-57.65625
NL,Ajoie,Kevin Fey,D,32,173,83,Bern,Switzerland,SC Bern,L,None,None,None,None,None,19,2,3,5,8,2,None,None,46.94809,7.44744,47.00016,8.01427
NL,Ajoie,Jannik Fischer,D,33,184,94,Baar,Switzerland,EV Zug,L,None,None,None,None,None,19,0,1,1,6,0,None,None,47.19625,8.52954,47.00016,8.01427
NL,Ajoie,Éric Gélinas,D,32,193,93,Vanier,Canada,None,L,2009,2,54,New Jersey Devils,None,10,3,1,4,25,1,None,None,48.35694,-74.3375,60.10867,-113.64258
NL,Ajoie,Valentin Pilet,D,26,190,94,None,Switzerland,HC Yverdon les Bains,L,None,None,None,None,None,15,0,0,0,6,-3,None,None,None,None,47.00016,8.01427
NL,Ajoie,Bastien Pouilly,D,27,173,77,Courtételle,Switzerland,HC Ajoie,L,None,None,None,None,None,8,0,0,0,2,-3,None,None,47.34074,7.31827,47.00016,8.01427
NL,Ajoie,Adam Rundqvist,F,33,179,84,Karlstad,Sweden,VEU Feldkirch,L,None,None,None,None,None,18,0,0,0,4,-3,None,None,59.3793,13.50357,62.0,15.0
NL,Ajoie,Joel Scheidegger,D,28,184,85,None,Switzerland,EHC Thun,L,None,None,None,None,None,18,0,2,2,8,-3,None,None,None,None,47.00016,8.01427
NL,Ajoie,Thomas Thiry,D,26,191,102,Saint-Germain-en-Laye,France,Annecy,R,None,None,None,None,None,19,0,1,1,10,-5,None,None,48.89643,2.0904,46.0,2.0
NL,Ajoie,Fabio Arnold,F,27,190,94,Zürich,Switzerland,EHC Wettingen-Baden,L,None,None,None,None,None,12,0,1,1,4,-4,None,None,47.36667,8.55,47.00016,8.01427
NL,Ajoie,Guillaume Asselin,F,31,180,88,Québec,Canada,None,R,None,None,None,None,None,14,2,4,6,10,-7,None,None,46.81228,-71.21454,60.10867,-113.64258
NL,Ajoie,Daniel Audette,F,27,175,75,Blainville,Canada,AHM Blainville,L,2014,5,147,Montréal Canadiens,None,18,7,7,14,2,-7,None,None,45.66678,-73.88249,60.10867,-113.64258
NL,Ajoie,Kevin Bozon,F,27,187,90,Chamonix-Mont-Blanc,France,Genève-Servette HC,L,None,None,None,None,None,5,1,0,1,2,1,None,None,45.92375,6.86933,46.0,2.0
NL,Ajoie,Philip-Michaël Devos,F,33,183,81,Sorel-Tracy,Canada,None,L,None,None,None,None,None,16,0,7,7,6,-3,None,None,46.04178,-73.11358,60.10867,-113.64258
NL,Ajoie,Thibault Frossard,F,30,178,78,Vendlincourt,Switzerland,HC Ajoie,L,None,None,None,None,None,19,2,2,4,2,-8,None,None,47.4526,7.15128,47.00016,8.01427
NL,Ajoie,Frédérik Gauthier,F,28,195,108,Laval,Canada,AHM St-Lin,L,2013,1,21,Toronto Maple Leafs,None,19,3,3,6,8,-9,None,None,45.56995,-73.692,60.10867,-113.64258
