Rang,Equipe,Match Joué,Points,Victoire,Défaite,Victoire en Prolongation,Défaite en Prolongation,Buts Marqués,Buts Encaissés,Point Par Match,Ville,Latitude Ville,Longitude Ville
1,Gottéron,21,44,11,3,4,3,67,46,2.1,Fribourg,46.80237,7.15128
2,ZSC,21,43,12,4,2,3,72,43,2.05,Zürich,47.36667,8.55
3,Zug,20,41,10,4,5,1,73,42,2.05,Zug,47.17242,8.51745
4,Bern,21,34,7,6,5,3,55,54,1.62,Bern,46.94809,7.44744
5,Ambrì-Piotta,20,32,7,7,5,1,61,55,1.6,Quinto,46.51078,8.71114
6,Lausanne,21,32,8,7,2,4,57,57,1.52,Lausanne,46.516,6.63282
7,Lugano,21,32,9,9,2,1,68,64,1.52,Lugano,46.01008,8.96004
8,Genève-Servette,20,31,7,6,3,4,55,63,1.55,Genève,46.20222,6.14569
9,Davos,21,31,9,8,0,4,50,45,1.48,Davos,46.80429,9.83723
10,Langnau,21,28,5,7,4,5,44,68,1.33,Langnau im Emmental,46.93936,7.78738
11,Rapperswil-Jona,21,24,6,11,2,2,48,58,1.14,Rapperswil,47.22557,8.82228
12,Biel-Bienne,20,23,4,8,3,5,46,58,1.15,Biel,47.13713,7.24608
13,Kloten,21,20,5,13,2,1,40,63,0.95,Kloten,47.45152,8.58491
14,Ajoie,19,17,4,11,1,3,41,61,0.89,Porrentruy,47.41728,7.07573
