Ligue,Equipe,Joueur,Position,Age,Taille,Poids,Ville de Naissance,Pays de Naissance,Club Formateur,Shoot,Année de Draft,Ronde de Draft,Position de Draft,Equipe de Draft,Salaire NHL,Match Joué,But,Assist,Point,Pénalités,Plus/Minus,GAA,SVP,Latitude Ville,Longitude Ville,Latitude Pays,Longitude Pays
SHL,Frölunda HC,Frederik Dichow,G,22,195,87,Vojens,Denmark,Vojens IK,R,2019,5,138,Montréal Canadiens,None,6,None,None,None,None,None,3.08,0.89,55.24639,9.30603,56.0,10.0
SHL,Frölunda HC,Lars Johansson,G,36,185,90,Avesta,Sweden,Avesta BK,L,None,None,None,None,None,15,None,None,None,None,None,2.25,0.916,60.21251,16.36234,62.0,15.0
SHL,Frölunda HC,Christian Folin,D,32,191,96,Kungsbacka,Sweden,Hanhals IF,R,None,None,None,None,None,18,0,5,5,4,-4,None,None,57.45058,12.15061,62.0,15.0
SHL,Frölunda HC,Filip Hasa,D,23,175,75,Uppsala,Sweden,Enköpings SK,L,None,None,None,None,None,18,0,6,6,6,-1,None,None,59.85882,17.63889,62.0,15.0
SHL,Frölunda HC,Isac Heens,D,24,182,80,None,Sweden,Vansbro AIK,L,None,None,None,None,None,16,1,3,4,2,2,None,None,None,None,62.0,15.0
SHL,Frölunda HC,Linus Högberg,D,25,185,80,Stockholm,Sweden,Älta IF,L,2016,5,139,Philadelphia Flyers,None,18,0,11,11,0,-7,None,None,59.32938,18.06871,62.0,15.0
SHL,Frölunda HC,Max Lindroth,D,27,185,90,None,Sweden,Partille HK,L,None,None,None,None,None,17,1,2,3,12,2,None,None,None,None,62.0,15.0
SHL,Frölunda HC,Tom Nilsson,D,30,184,83,Tyresö,Sweden,Hanvikens SK,R,2011,4,100,Toronto Maple Leafs,None,9,0,0,0,4,-2,None,None,59.24148,18.28074,62.0,15.0
SHL,Frölunda HC,Henrik Tömmernes,D,33,186,84,Karlstad,Sweden,Färjestads BK,L,2011,7,210,Vancouver Canucks,None,18,3,7,10,6,-1,None,None,59.3793,13.50357,62.0,15.0
SHL,Frölunda HC,Erik Borg,F,26,187,82,None,Sweden,Bäcken HC,L,None,None,None,None,None,18,3,3,6,2,-2,None,None,None,None,62.0,15.0
SHL,Frölunda HC,Isac Born,F,19,183,80,Onsala,Sweden,HK Kings,L,None,None,None,None,None,14,1,4,5,0,3,None,None,57.42531,12.02903,62.0,15.0
SHL,Frölunda HC,David Edstrom,F,18,190,86,Göteborg,Sweden,Hovås HC,L,2023,1,32,Vegas Golden Knights,950000,18,3,5,8,4,2,None,None,57.70716,11.96679,62.0,15.0
SHL,Frölunda HC,Max Friberg,F,30,179,86,Skövde,Sweden,Skövde IK,R,2011,5,143,Anaheim Ducks,None,18,6,6,12,0,-5,None,None,58.39118,13.84506,62.0,15.0
SHL,Frölunda HC,Noah Hasa,F,20,181,80,Uppsala,Sweden,Enköpings SK,L,None,None,None,None,None,18,0,0,0,2,-3,None,None,59.85882,17.63889,62.0,15.0
SHL,Frölunda HC,Jere Innala,F,25,175,83,Hauho,Finland,Kiekko-Ahma,L,None,None,None,None,None,8,6,2,8,2,1,None,None,61.17255,24.56303,64.0,26.0
SHL,Frölunda HC,Carl Klingberg,F,32,191,102,Göteborg,Sweden,Lerums BK,R,2009,2,34,Atlanta Thrashers,None,18,4,1,5,29,-2,None,None,57.70716,11.96679,62.0,15.0
SHL,Frölunda HC,Nicklas Lasu,F,34,182,82,Mölndal,Sweden,IF Mölndal Hockey,L,2008,5,124,Atlanta Thrashers,None,18,5,2,7,6,-1,None,None,57.6554,12.01378,62.0,15.0
SHL,Frölunda HC,Linus Nässén,F,23,181,81,Hönö,Sweden,Skärgårdens SK,L,None,None,None,None,None,18,0,8,8,4,1,None,None,57.68972,11.64972,62.0,15.0
SHL,Frölunda HC,Mats Rosseli Olsen,F,32,180,79,Oslo,Norway,Furuset IF,L,None,None,None,None,None,None,None,None,None,None,None,None,None,59.91273,10.74609,62.0,10.0
SHL,Frölunda HC,Gustav Rydahl,F,29,191,95,Karlstad,Sweden,Färjestads BK,L,None,None,None,None,None,17,2,3,5,25,-6,None,None,59.3793,13.50357,62.0,15.0
SHL,Frölunda HC,Otto Stenberg,F,18,180,78,Stenungsund,Sweden,Stenungsunds HF,L,2023,1,25,St. Louis Blues,None,14,2,2,4,6,0,None,None,58.07046,11.8181,62.0,15.0
SHL,Frölunda HC,Malte Strömwall,F,29,182,86,Luleå,Sweden,Linköpings HC,R,None,None,None,None,None,18,4,9,13,6,-3,None,None,65.58415,22.15465,62.0,15.0
SHL,Frölunda HC,Erik Thorell,F,31,178,84,Karlstad,Sweden,Färjestads BK,L,None,None,None,None,None,13,1,3,4,4,-6,None,None,59.3793,13.50357,62.0,15.0
SHL,Frölunda HC,Linus Öberg,F,23,182,93,Vänersborg,Sweden,Vänersborgs HC,R,2020,7,206,San Jose Sharks,None,18,6,3,9,2,-5,None,None,58.39828,12.27554,62.0,15.0
SHL,Färjestad BK,Max Lagacé,G,30,188,86,Saint-Augustin-de-Desmaures,Canada,None,L,None,None,None,None,None,6,None,None,None,None,None,2.29,0.919,46.74064,-71.45131,60.10867,-113.64258
SHL,Färjestad BK,Carl Lindbom,G,20,185,86,Stockholm,Sweden,Ekerö IK,L,2021,7,222,Vegas Golden Knights,840000,10,None,None,None,None,None,1.29,0.937,59.32938,18.06871,62.0,15.0
SHL,Färjestad BK,Jonathan Andersson,D,30,178,86,Valdemarsvik,Sweden,Valdemarsviks IF,L,None,None,None,None,None,15,2,2,4,2,6,None,None,58.2031,16.60225,62.0,15.0
SHL,Färjestad BK,Axel Bergkvist,D,23,176,91,Insjön,Sweden,Leksands IF,L,2019,7,200,Arizona Coyotes,None,7,1,1,2,0,0,None,None,64.75,16.33333,62.0,15.0
SHL,Färjestad BK,Carl Dahlström,D,28,193,96,Stockholm,Sweden,Järfälla HC,L,2013,2,51,Chicago Blackhawks,None,16,0,5,5,2,12,None,None,59.32938,18.06871,62.0,15.0
SHL,Färjestad BK,Jérémy Groleau,D,24,191,90,St-Nicolas,Canada,None,L,None,None,None,None,None,15,1,2,3,8,4,None,None,45.55288,-73.67278,60.10867,-113.64258
SHL,Färjestad BK,Mattias Göransson,D,28,191,85,Grums,Sweden,Grums IK,L,None,None,None,None,None,15,1,2,3,0,0,None,None,59.40406,13.02192,62.0,15.0
SHL,Färjestad BK,Magnus Nygren,D,33,185,87,Karlstad,Sweden,Färjestads BK,R,2011,4,113,Montréal Canadiens,None,16,3,5,8,4,-2,None,None,59.3793,13.50357,62.0,15.0
SHL,Färjestad BK,Joel Nyström,D,21,189,79,Karlstad,Sweden,Färjestads BK,R,2021,7,219,Carolina Hurricanes,None,16,3,2,5,6,8,None,None,59.3793,13.50357,62.0,15.0
SHL,Färjestad BK,August Tornberg,D,31,194,97,Pajala,Sweden,Björns IF,R,None,None,None,None,None,14,0,3,3,4,2,None,None,67.21284,23.36607,62.0,15.0
SHL,Färjestad BK,Mikael Wikstrand,D,30,188,89,Karlstad,Sweden,IFK Ore,L,2012,7,196,Ottawa Senators,None,None,None,None,None,None,None,None,None,59.3793,13.50357,62.0,15.0
SHL,Färjestad BK,Henrik Björklund,F,33,189,95,Karlstad,Sweden,Färjestads BK,R,2009,4,111,Calgary Flames,None,4,1,1,2,0,2,None,None,59.3793,13.50357,62.0,15.0
SHL,Färjestad BK,Victor Ejdsell,F,28,195,98,Karlstad,Sweden,Viking HC,L,None,None,None,None,None,16,5,8,13,33,6,None,None,59.3793,13.50357,62.0,15.0
SHL,Färjestad BK,Lucas Forsell,F,20,184,73,Västerås,Sweden,Fagersta AIK,R,2021,7,201,Vancouver Canucks,None,16,1,1,2,8,-2,None,None,59.61617,16.55276,62.0,15.0
SHL,Färjestad BK,Linus Johansson,F,30,190,91,Ljungby,Sweden,IF Troja-Ljungby,L,None,None,None,None,None,16,4,4,8,22,5,None,None,56.80684,13.82719,62.0,15.0
SHL,Färjestad BK,Joel Kellman,F,29,179,85,Tingsryd,Sweden,Karlskrona HK,L,None,None,None,None,None,15,4,2,6,6,6,None,None,56.53333,14.96667,62.0,15.0
SHL,Färjestad BK,Oscar Lawner,F,22,181,85,Karlstad,Sweden,Kils AIK,L,None,None,None,None,None,16,1,3,4,4,3,None,None,59.3793,13.50357,62.0,15.0
SHL,Färjestad BK,Michael Lindqvist,F,29,180,78,Danderyd,Sweden,Enebybergs IF,R,None,None,None,None,None,16,4,6,10,6,-3,None,None,59.40924,18.04847,62.0,15.0
SHL,Färjestad BK,Patrik Lundh,F,35,180,84,Stockholm,Sweden,Lidingö Vikings HC,L,None,None,None,None,None,15,0,1,1,2,3,None,None,59.32938,18.06871,62.0,15.0
