Rang,Equipe,Match Joué,Points,Victoire,Défaite,Victoire en Prolongation,Défaite en Prolongation,Buts Marqués,Buts Encaissés,Point Par Match,Ville,Latitude Ville,Longitude Ville
1,Färjestad BK,16,34,10,2,0,4,50,30,2.13,Karlstad,59.3793,13.50357
2,Växjö Lakers HC,17,28,9,7,0,1,46,37,1.65,Växjö,56.87767,14.80906
3,Linköping HC,17,28,7,6,3,1,49,47,1.65,Linköping,58.41086,15.62157
4,Malmö Redhawks,17,27,7,6,2,2,50,42,1.59,Malmö,55.60587,13.00073
5,Frölunda HC,18,27,6,7,4,1,48,46,1.5,Göteborg,57.70716,11.96679
6,Luleå HF,16,26,7,6,2,1,42,34,1.63,Luleå,65.58415,22.15465
7,Örebro HK,16,26,6,5,3,2,46,41,1.63,Örebro,59.27412,15.2066
8,Skellefteå AIK,16,26,8,7,1,0,31,30,1.63,Skellefteå,64.62477,21.07689
9,Timrå IK,16,26,7,5,1,3,40,43,1.63,Timrå,62.52813,17.44393
10,Leksands IF,16,25,8,7,0,1,45,34,1.56,Leksand,60.7303,14.99994
11,MoDo Hockey,16,22,5,7,3,1,42,46,1.38,Örnsköldsvik,63.29091,18.71525
12,Rögle BK,16,20,6,8,0,2,36,49,1.25,Ängelholm,56.2428,12.86219
13,HV71,17,17,5,10,0,2,40,61,1.0,Jönköping,57.78145,14.15618
14,IK Oskarshamn,16,13,3,11,2,0,37,62,0.81,Oskarshamn,57.26455,16.44837
